brand,model,price,depre,age,mileage,eng_cap,power,owners,reg_date,maturity_date,years_left,COE_extended
BMW,7 Series 730Li Sunroof,225800,27490.0,4.0,73000.0,1998.0,190.0,2,2018-12-27,2028-12-26,6.0,False
Mercedes-Benz,C-Class C180K ,91800,10230.0,11.0,,1597.0,115.0,3,2012-01-05,2031-12-01,8.9,True
Mercedes-Benz,CLA-Class CLA180 AMG Line,49800,26800.0,8.5,110000.0,1595.0,90.0,2,2014-07-04,2024-07-03,1.5,False
Lexus,IS250 ,76800,10780.0,12.9,133000.0,2500.0,153.0,5,2010-02-25,2030-02-01,7.1,True
Mercedes-Benz,C-Class C180 ,65000,13070.0,9.8,96000.0,1595.0,115.0,3,2013-03-11,2027-12-01,4.9,True
Mercedes-Benz,C-Class C180 ,109888,10980.0,10.0,87000.0,1595.0,115.0,1,2013-01-03,2033-01-02,10.0,True
BMW,3 Series 318i ,23800,11450.0,12.9,144000.0,1995.0,100.0,6,2010-02-09,2025-02-01,2.1,True
Volvo,S60 T5,66800,13420.0,6.1,99000.0,1969.0,180.0,2,2016-11-30,2026-11-30,3.9,False
BMW,3 Series 318i Sport,57777,16670.0,7.4,116358.0,1499.0,100.0,2,2015-08-28,2025-08-27,2.6,False
Mazda,6 2.0A Executive,84000,14280.0,5.0,43950.0,1998.0,121.0,1,2018-01-29,2028-01-29,5.0,False
Audi,A3 Sedan 1.4A TFSI Ambiente,38800,16710.0,8.1,97000.0,1395.0,92.0,1,2014-11-25,2024-11-24,1.9,False
Hyundai,Sonata 2.0A NF ,34888,8970.0,16.1,,1998.0,106.3,2,2006-12-08,2026-11-01,3.8,True
Lexus,LS350 Luxury MR,209800,26700.0,4.9,113000.0,3456.0,232.0,1,2018-02-02,2028-02-02,5.1,False
Mercedes-Benz,E-Class E200,55022,20160.0,8.5,103680.0,1991.0,135.0,2,2014-07-04,2024-07-03,1.5,False
Mercedes-Benz,E-Class E200 Avantgarde,125800,22710.0,6.0,56198.0,1991.0,135.0,3,2017-01-03,2027-01-03,4.0,False
Mercedes-Benz,C-Class C180 Avantgarde,127800,20150.0,4.7,23716.0,1595.0,115.0,3,2018-04-23,2028-04-22,5.3,False
Toyota,Camry 2.0A ,59800,9760.0,13.9,,1998.0,108.0,6,2009-02-26,2029-02-01,6.1,True
BMW,5 Series 523i ,96800,12670.0,11.9,,2497.0,150.0,6,2011-02-28,2030-08-01,7.6,True
Mercedes-Benz,S-Class S450L Mild Hybrid 4MATIC,455800,43970.0,1.6,16285.0,2999.0,286.0,1,2021-06-10,2031-06-10,8.4,False
Lexus,ES250 Luxury Sunroof,131000,21430.0,5.0,32118.0,2494.0,135.0,1,2017-12-29,2027-12-29,5.0,False
